name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
SCLK01	clock	s	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BG1	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BG2	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BG3	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BP1	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BP2	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BP3	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BR1	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BR2	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
BR3	refmag	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
G11	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
G12	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
G13	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
G22	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
G23	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P11	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P12	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P13	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P22	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P23	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Q11	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Q12	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Q13	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Q22	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Q23	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
R11	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
R12	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
R13	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
R22	refgrad	T	1200	n/a	n/a	n/a	n/a	n/a	n/a	n/a
